"origen_auditoría","ámbito","grupo","coincidencias_aproximadas","unidades_aproximadas","base_del_recuento","impacto_mariadb","impacto_postgresql","impacto_sql_server","estrategia","prioridad","rutas_representativas","observaciones"
"DataModules","Rutinas","CALL","41","23","Coincidencias rg","Nativo","Existe CALL, pero firma, OUT y transacciones difieren","Usa EXEC/EXECUTE y otra semántica de parámetros/resultsets","Catálogo por motor y adaptador de invocación de rutinas","Crítica","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","Probar parámetros OUT, múltiples resultsets y transacciones"
"DataModules","Concurrencia","FOR UPDATE","115","42","Coincidencias rg","Nativo","Nativo con diferencias de opciones y aislamiento","No compatible; requiere hints y estrategia de aislamiento","Adaptador de locking por intención con pruebas de concurrencia","Crítica","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","Probar espera, NOWAIT/SKIP LOCKED equivalentes, timeout y deadlock"
"DataModules","Metadatos","INFORMATION_SCHEMA y DATABASE() MySQL","45","25","Coincidencias rg","Compatible con columnas y semántica MySQL; DATABASE() nativo","Catálogos y separación database/schema diferentes","Requiere sys.* y separación database/schema","Adaptador de metadatos por motor","Crítica","src/DataModules/UniDataBackupRepositorio.pas; src/DataModules/UniDataMetadatosBBDDRepositorio.pas","No asumir que nombre de base y schema coinciden"
"DataModules","Funciones de listas y texto","SUBSTRING_INDEX","31","9","Coincidencias rg","Nativo","No compatible","No compatible","Vista física o catálogo por motor; normalizar el contrato de extracción","Alta","src/**/DataModules/*.pas","Revisar delimitadores ausentes y posiciones negativas"
"DataModules","Funciones de listas y texto","FIND_IN_SET","10","2","Coincidencias rg","Nativo","No compatible","No compatible","Normalizar datos relacionales o usar variante por motor","Alta","src/**/DataModules/*.pas","Una lista CSV en una columna limita índices y portabilidad"
"DataModules","Búsqueda de texto","LOCATE","33","13","Coincidencias rg","Nativo","No compatible con el mismo nombre","No compatible con el mismo nombre","COALESCE/posición común solo si se prueba; en otro caso catálogo","Media","src/**/DataModules/*.pas; src/**/DataModules/*.dfm","Acordar índice base y resultado cuando no existe"
"DataModules","Relleno de texto","LPAD","12","6","Coincidencias rg","Nativo","Nativo","No nativo","Vista o catálogo por motor; considerar formatear fuera de SQL","Media","src/**/DataModules/*.pas","Probar truncamiento cuando el texto supera la longitud"
"DataModules","Expresiones regulares","REGEXP","4","2","Coincidencias rg","Nativo","Operadores y dialecto regex diferentes","Sin soporte regex nativo equivalente","Adaptador/búsqueda especializada o mover validación fuera de SQL","Alta","src/**/DataModules/*.pas","No asumir compatibilidad de patrones ni collation"
"DataModules","Collation","utf8mb4_* COLLATE","32","4","Coincidencias rg","Nativo si la collation existe","No compatible; collations y locale distintos","No compatible; nombres y reglas distintos","DDL/vista por motor y contrato de comparación textual","Crítica","src/DataModules/UniDataBackupRepositorio.pas; src/DataModules/UniDataMetadatosBBDDRepositorio.pas","Validar mayúsculas, acentos, Unicode y uso de índices"
"DataModules","DDL y DML MySQL","UPDATE JOIN; DELETE JOIN; tablas temporales ENGINE=...","","","Hallazgo cualitativo; numerosos casos sin recuento depurado","Nativo con restricciones propias","No compatible o sintaxis distinta","No compatible o sintaxis distinta","Adaptadores de DML/temporales/DDL por motor","Crítica","src/DataModules/UniDataComprasSesiones*.pas; src/DataModules/UniDataGeneradorProcesosRepositorio.pas","Separar los tres subgrupos antes de migrar cada repositorio"
"DataModules","Comparación por tuplas","Row-value IN","4","4","Coincidencias rg","Compatible","Compatible","No compatible en esa forma","Catálogo por motor o JOIN/EXISTS con contrato equivalente","Alta","src/**/DataModules/*.pas","Probar NULL dentro de las tuplas"
"DataModules","Tabla ficticia","FROM DUAL","4","2","Coincidencias rg","Nativo","No necesario y puede fallar sin objeto compatible","No necesario y puede fallar sin objeto compatible","Eliminar si es SQL común o registrar variante de catálogo","Media","src/**/DataModules/*.pas","Mantener solo cuando forme parte de una variante MariaDB"
"DataModules","Semántica transversal","División, NULL sort, LIKE/collation y CONCAT+NULL","","","Hallazgos semánticos sin recuento fiable","Depende de tipos, SQL_MODE y collation","Puede cambiar división, orden de NULL y comparación textual","Puede cambiar división, orden de NULL y concatenación","Pruebas de contrato y vistas/catálogo con casts y orden explícitos","Crítica","src/DataModules/UniDataFacturas*.pas; src/DataModules/UniDataComprasSesiones*.pas; src/DataModules/UniDataStockConsultaRepositorio.pas","Incluye riesgo fiscal por división /100 y resultados distintos sin error sintáctico"
"Lib/backup","Prólogo y sesión","SET NAMES; START TRANSACTION; FOREIGN_KEY_CHECKS; SQL_MODE; AUTOCOMMIT","7","1","Sentencias/rasgos deduplicados","Nativo; depende de collation y SQL_MODE","Solo parte transaccional es aprovechable; el resto falla","Requiere BEGIN TRANSACTION y no admite las variables MySQL","Adaptador de backup por motor para prólogo, transacción y constraints","Crítica","src/Lib/backup/Backup.Engine.pas","El artefacto debe declarar motor y versión"
"Lib/backup","Catálogos","Metadatos de tablas, columnas, índices, rutinas, triggers, vistas y secuencias","10","1","Métodos deduplicados","Implementación específica válida con límites de exactitud","No compatible con las columnas y semántica actuales","No compatible con las columnas y semántica actuales","Adaptador de metadatos: information_schema/pg_catalog/sys.*","Crítica","src/Lib/backup/Providers_MySQL.pas","El modelo actual también debe separar catálogo y schema"
"Lib/backup","Extracción de objetos","SHOW CREATE FUNCTION/PROCEDURE/TRIGGER/VIEW","4","1","Métodos deduplicados","Nativo","No compatible","No compatible","Proveedor nativo por motor; no traducir cuerpos arbitrarios","Crítica","src/Lib/backup/Providers_MySQL.pas","Incluye DEFINER y posiciones de campos específicas"
"Lib/backup","Quoting","Backticks en generadores y lecturas","20","2","Sitios de uso representativos; mínimo aproximado","Nativo, con escape interno pendiente","No compatible","No compatible","IDialectoSql/serializer de identificadores por motor","Crítica","src/Lib/backup/Providers_MySQL_Helpers.pas; src/Lib/backup/Providers_MySQL.pas","El recuento agrupa consumidores del mismo helper"
"Lib/backup","DDL","CREATE/ALTER de columnas, tablas, PK e índices","12","1","Métodos/rasgos deduplicados","Nativo","No compatible: identidad, engine, charset, comentarios y ALTER distintos","No compatible: ADD COLUMN, identidad, comentarios e índices distintos","Adaptador DDL por motor sobre un modelo de esquema neutral","Crítica","src/Lib/backup/Providers_MySQL_Helpers.pas","No reutilizar DataType/Extra MySQL como modelo común"
"Lib/backup","Variables y SQL dinámico","SET @; DATABASE(); IF; PREPARE/EXECUTE; DROP PRIMARY KEY","6","1","Rasgos deduplicados dentro de GenerateDropIndexSQL","Nativo","No compatible","No compatible","Adaptador de constraints/índices que resuelva el nombre real","Crítica","src/Lib/backup/Providers_MySQL_Helpers.pas","La PK no tiene el mismo nombre ni catálogo en todos los motores"
"Lib/backup","Literales de datos","Backslash; fecha/hora; boolean; blob; Unicode","5","1","Familias de serialización deduplicadas","Depende de SQL_MODE; pierde precisión temporal","Puede corromper backslashes y rechazar boolean/blob","Puede perder Unicode y precisión temporal","Serializer tipado por motor; parámetros en ejecución en vivo","Crítica","src/Lib/backup/Providers_MySQL_Helpers.pas","Incluye riesgo de corrupción silenciosa"
"Lib/backup","Identidad y secuencias","HasIdentity ignorado; secuencias vacías; detección auto_increment","4","3","Métodos/rasgos deduplicados","Inserción explícita normalmente válida; DISABLE KEYS limitado con InnoDB","Puede rechazar IDENTITY ALWAYS o dejar secuencia atrasada","Rechaza valor explícito sin IDENTITY_INSERT","Adaptador de identidad/secuencia y reconciliación posterior","Crítica","src/Lib/backup/Providers_MySQL_Helpers.pas; src/Lib/backup/Backup.LecturaDatos.pas; src/Lib/backup/Backup.ComparacionDatos.pas","Probar siguiente valor después de restaurar"
"Lib/backup","Rutinas, vistas y triggers","DELIMITER y copia de cuerpos brutos","12","3","Métodos y rutas de generación/extracción deduplicados","Nativo para el cliente/parser previsto","No entiende PL/pgSQL ni dollar quoting","No entiende T-SQL, batches GO ni requisitos de primer statement","Backup nativo por motor; rechazar conversión implícita","Crítica","src/Lib/backup/Backup.Engine.pas; src/Lib/backup/Providers_MySQL.pas; src/Lib/backup/Providers_MySQL_Helpers.pas","Puede transportar LIMIT, IFNULL, JSON o locks no visibles en el código fuente"
"Lib/backup","Parser de restauración","Escape backslash; sin dollar quoting, brackets, GO ni comentarios anidados","5","1","Gaps de parser deduplicados","Depende de NO_BACKSLASH_ESCAPES","Puede partir cuerpos y cadenas incorrectamente","Puede partir batches e identificadores incorrectamente","Parser/manifest por dialecto o sentencias estructuradas","Crítica","src/Lib/backup/Backup.Engine.pas","No ejecutar un artefacto antes de validar su dialecto"
"Lib/backup","Modelo y comparación","Metadatos MySQL del origen alimentan un único generador de destino","8","4","Áreas/métodos deduplicados","Funciona solo dentro de las limitaciones del modelo MySQL","Pierde tipos, secuencias, índices y cuerpos programables","Pierde identidad, índices y cuerpos programables","Modelo neutral y conversores; inicialmente prohibir comparación cruzada","Crítica","src/Lib/backup/Backup.Types.pas; src/Lib/backup/Core_Engine.pas; src/Lib/backup/Backup.ComparacionDatos.pas; src/Lib/backup/Core_Interfaces.pas","No confundir igualdad textual con equivalencia semántica"
"Lib/backup","Carga masiva","INSERT multivalor configurable","1","1","Constructor de lotes deduplicado","Compatible","Compatible","Compatible solo hasta 1000 filas por VALUES","Capacidades del motor y límite de lote configurable/capado","Media","src/Lib/backup/Backup.LecturaDatos.pas","El valor predeterminado 500 es seguro para SQL Server"
"Lib común","Seguridad y composición SQL","Quoting fijo, inyección de filtro y clasificadores parciales","4","4","Hallazgos deduplicados fuera de backup","Puede fallar en SQL complejo aunque el dialecto sea MariaDB","No cubre CTE, dollar quoting y todas las escrituras","No cubre EXEC, brackets, SELECT INTO y cláusulas terminales","Parser por dialecto o composición estructurada; filtros en el repositorio","Crítica","src/Lib/inLibSqlSeguro.pas; src/Lib/inLibFiltroUsuario.pas; src/Lib/inLibCatalogoSqlValidacion.pas; src/Lib/inLibProteccionDatosFacturacion.pas","Prioridad máxima cuando el fragmento aplica restricciones de acceso o protección fiscal"
"Lib y DataModules","JSON","Sin SQL directo inventariado; posible dentro de cuerpos extraídos","0","0","Búsqueda estática directa; no inspecciona objetos de una base real","Las funciones JSON dependen de versión y semántica MariaDB","json/jsonb, funciones y operadores propios","Funciones JSON y OPENJSON propios","Catálogo/vista/adaptador por motor y pruebas con NULL/tipos/rutas","Alta","src/Lib/backup/Providers_MySQL.pas","Cero significa sin literal directo encontrado, no ausencia en vistas o rutinas de producción"
